Location,Indicator,Period,Dim1,First Tooltip
Japan,Concentrations of fine particulate matter (PM2.5),2016,Total,11.45 [10.73-12.48]
Japan,Concentrations of fine particulate matter (PM2.5),2016,Urban,11.84 [11.15-12.88]
Japan,Concentrations of fine particulate matter (PM2.5),2016,Rural,9.34 [8.43-10.64]
Jordan,Concentrations of fine particulate matter (PM2.5),2016,Total,32.09 [28.34-38.58]
Jordan,Concentrations of fine particulate matter (PM2.5),2016,Urban,31.65 [27.59-36.87]
Jordan,Concentrations of fine particulate matter (PM2.5),2016,Rural,37.98 [27.89-64.25]
Kazakhstan,Concentrations of fine particulate matter (PM2.5),2016,Total,11.32 [7.69-20.51]
Kazakhstan,Concentrations of fine particulate matter (PM2.5),2016,Urban,14.48 [9.75-25.83]
Kazakhstan,Concentrations of fine particulate matter (PM2.5),2016,Rural,10.37 [7.03-19.86]
Kenya,Concentrations of fine particulate matter (PM2.5),2016,Total,25.85 [17.78-44.07]
Kenya,Concentrations of fine particulate matter (PM2.5),2016,Urban,25.78 [17.33-44.9]
Kenya,Concentrations of fine particulate matter (PM2.5),2016,Rural,26.1 [17.96-42.19]
Kiribati,Concentrations of fine particulate matter (PM2.5),2016,Total,10.45 [4.69-24.1]
Kiribati,Concentrations of fine particulate matter (PM2.5),2016,Urban,10.95 [4.72-26.65]
Kiribati,Concentrations of fine particulate matter (PM2.5),2016,Rural,10.37 [4.67-23.47]
Kuwait,Concentrations of fine particulate matter (PM2.5),2016,Total,57.17 [49.71-72.1]
Kuwait,Concentrations of fine particulate matter (PM2.5),2016,Urban,58.94 [51.57-74.33]
Kuwait,Concentrations of fine particulate matter (PM2.5),2016,Rural,52.52 [40.96-71.14]
Kyrgyzstan,Concentrations of fine particulate matter (PM2.5),2016,Total,18.12 [12.77-35.24]
Kyrgyzstan,Concentrations of fine particulate matter (PM2.5),2016,Urban,17.35 [12.43-36.75]
Kyrgyzstan,Concentrations of fine particulate matter (PM2.5),2016,Rural,18.68 [12.97-34.75]
Lao People's Democratic Republic,Concentrations of fine particulate matter (PM2.5),2016,Total,24.49 [19.08-34.95]
Lao People's Democratic Republic,Concentrations of fine particulate matter (PM2.5),2016,Urban,25.5 [19.35-37.35]
Lao People's Democratic Republic,Concentrations of fine particulate matter (PM2.5),2016,Rural,23.71 [18.38-32.96]
Latvia,Concentrations of fine particulate matter (PM2.5),2016,Total,12.72 [11.87-15.4]
Latvia,Concentrations of fine particulate matter (PM2.5),2016,Urban,14.37 [13.49-17.17]
Latvia,Concentrations of fine particulate matter (PM2.5),2016,Rural,10.76 [9.32-12.99]
Lebanon,Concentrations of fine particulate matter (PM2.5),2016,Total,30.67 [23.63-39.39]
Lebanon,Concentrations of fine particulate matter (PM2.5),2016,Urban,30.69 [23.64-39.37]
Lebanon,Concentrations of fine particulate matter (PM2.5),2016,Rural,29.74 [21.23-41.65]
Lesotho,Concentrations of fine particulate matter (PM2.5),2016,Total,27.78 [16.82-43.44]
Lesotho,Concentrations of fine particulate matter (PM2.5),2016,Urban,28.09 [16.86-43.29]
Lesotho,Concentrations of fine particulate matter (PM2.5),2016,Rural,27.3 [17.1-43.09]
